id_2026,candidate_2025_id,action
600004961_79-41-K/61_Vytvarna_vychova,600004961_79-41-K/61_estetickovýchovné_předměty___zaměření_na_VV_,match
600004961_79-41-K/61_Nemecky_jazyk,600004961_79-41-K/61_vybrané_předměty_v_cizím_jazyce___zaměření_na_NJ_,match
600005143_79-41-K/61_s_vyukou_francouzstiny,600005143_79-41-K/61_s_výukou_francouzského_jazyka,match
600005143_79-41-K/61_s_posilenou_vyukou_nemciny,600005143_79-41-K/61_s_posílenou_výukou_německého_jazyka,match
600005381_39-41-L/01_Autoelektrikar_26_57_H_01,600005381_39-41-L/01_26_57_H/01_Autoelektrikář,match
600005518_79-41-K/81_Cizi_jazyky_brana_do_sveta,600005518_79-41-K/81_Cizí_jazyky_–_brána_do_světa_(zaměření_na_živé_jazyky),match
600005950_79-41-K/41_Aspira_Rozvijime_a_podporujeme,,new
600005950_79-41-K/41_Meda_Pro_budouci_psychology,,new
600005950_79-41-K/41_Meda_Pro_budouci_lekare,,new
600006018_79-41-K/81_8lete_PORG_Brno,,new
600006905_26-41-M/01_Aplikace_elektrotechniky_zamereni_Automatizace_a_robotika,600006905_26-41-M/01_Aplikace_elektrotechniky___Automatizační_technika,match
600007278_41-41-M/01_Moderni_zemedelstvi_a_nove_technologie,600007278_41-41-M/01_zemědělský_provoz,match
600008193_23-45-L/01_Mechanik_serizovac_Obrabec_kovu_L0_H,600008193_23-45-L/01_Mechanik_seřizovač_+_Obráběč_kovů_(L0+H),match
600008193_23-45-L/01_Mechanik_serizovac_mechatronik_Elektromechanik_pro_zarizeni_a_pristroje_L0_H,600008193_23-45-L/01_Mechatronik_+_Elektromechanik_pro_zařízení_a_přístroje_(L0+H),match
600009459_79-42-K/41_Sportovni_strelba,,new
600009831_79-41-K/41_Inspirace_a_vzdelani_v_souvislostech,600009831_79-41-K/41_Inspirace_a_poznání_v_souvislostech,match
600010198_79-41-K/41_79_41_K_41_Vseobecne,600010198_79-41-K/41_79_41_K/41___všeobecné_zaměření,match
600010198_79-41-K/41_79_41_K_41_Humanitni,600010198_79-41-K/41_79_41_K/41___humanitní_zaměření,match
600011534_23-45-L/01_Robotika_23_56_H_01_Obrabec_kovu,600011534_23-45-L/01_Robotika_(+_23_56_H/01_Obráběč_kovů),match
600011534_23-45-L/01_Programator_CNC_23_56_H_01_Obrabec_kovu,600011534_23-45-L/01_Programátor_CNC_(+_23_56_H/01_Obráběč_kovů),match
600012271_78-42-M/02_Ekonomicke_lyceum_s_rozsirenou_vyukou_anglickeho_jazyka,600012271_78-42-M/02,match
600012590_18-20-M/01_Pocitacove_site_a_programovani,600012590_18-20-M/01_Aplikace_počítačů_a_správa_sítí,match
600015297_63-41-M/01_zamereni_Sportovni_management,,new
600015572_63-41-M/01_Podnikani_v_kynologii,,new
600016358_63-41-M/01_Cestovni_ruch,600016358_63-41-M/01_Podnikání_v_euroregionu_a_služby_v_cestovním_ruchu,match
600016374_18-20-M/01_Kyberbezpecnost_pocitacovych_siti,600016374_18-20-M/01_Počítačové_sítě_/_kyberbezpečnost,match
600016625_65-42-M/01,600016625_65-42-M/01_Hotelnictví,match
600016901_18-20-M/01_Multimedia,600016901_18-20-M/01_Počítačová_grafika_,match
600016935_79-41-K/41_telesna_vychova,600016935_79-41-K/41_TV,match
600017133_26-41-L/01_26_51_H_02_Elektrikar_silnoproud,600017133_26-41-L/01_silnoproudá_zařízení___L0+H_mechanik_elektrotechnik_silnoproudá_zařízení_+_Elektrikář_silnoproud,match
600017460_63-41-M/02_marketing_a_digitalni_technologie,600017460_63-41-M/02__s_rozšířenou_výukou_marketingu_a_digitálních_technologií,match
600170080_79-41-K/41_Elektromobility,600170080_79-41-K/41_Elektromobilita,match
600170080_79-41-K/41_Multimedii,600170080_79-41-K/41_Multimédia,match
600170837_39-41-L/01_23_68_H_01_Mechanik_opravar_motorovych_vozidel,600170837_39-41-L/01_Automechanik,match
600171728_79-41-K/81_s_rozsirenou_vyukou_telesne_vychovy,600171728_79-41-K/81_s_rozšířenou_výukou_TV,match
600171744_79-42-K/41_volejbal_divky,,new
600171744_79-42-K/41_skikros,,new
600171744_79-42-K/41_cyklistika,,new
610100530_37-41-M/01_Vnitrostatni_a_mezinarodni_doprava,610100530_37-41-M/01_Vnitrostátní_a_mezinárodní_autodoprava,match
691000107_23-41-M/01,691000107_23-41-M/01_Strojírenství,match
691018707_79-42-K/41_rugby_79_42_K_41,691018707_79-42-K/41_ragby,match
691018707_79-42-K/41_triatlon_79_42_K_41,,new
