review_id,base_key,id_2026,zamereni_2026,prihlasky_2026,kapacita_2026,candidate_2025_id,candidate_2025_zamereni,candidate_2025_prihlasky,action
1,600004961_79-41-K/61,600004961_79-41-K/61_Vytvarna_vychova,Vytvarna_vychova,189,30,600004961_79-41-K/61_estetickovýchovné_předměty___zaměření_na_VV_,estetickovýchovné_předměty___zaměření_na_VV_,,
2,600004961_79-41-K/61,600004961_79-41-K/61_Vytvarna_vychova,Vytvarna_vychova,189,30,600004961_79-41-K/61_vybrané_předměty_v_cizím_jazyce___zaměření_na_NJ_,vybrané_předměty_v_cizím_jazyce___zaměření_na_NJ_,,
3,600004961_79-41-K/61,600004961_79-41-K/61_Nemecky_jazyk,Nemecky_jazyk,327,30,600004961_79-41-K/61_estetickovýchovné_předměty___zaměření_na_VV_,estetickovýchovné_předměty___zaměření_na_VV_,,
4,600004961_79-41-K/61,600004961_79-41-K/61_Nemecky_jazyk,Nemecky_jazyk,327,30,600004961_79-41-K/61_vybrané_předměty_v_cizím_jazyce___zaměření_na_NJ_,vybrané_předměty_v_cizím_jazyce___zaměření_na_NJ_,,
5,600005143_79-41-K/61,600005143_79-41-K/61_s_vyukou_francouzstiny,s_vyukou_francouzstiny,391,30,600005143_79-41-K/61_s_posílenou_výukou_německého_jazyka,s_posílenou_výukou_německého_jazyka,,
6,600005143_79-41-K/61,600005143_79-41-K/61_s_vyukou_francouzstiny,s_vyukou_francouzstiny,391,30,600005143_79-41-K/61_s_výukou_francouzského_jazyka,s_výukou_francouzského_jazyka,,
7,600005143_79-41-K/61,600005143_79-41-K/61_s_vyukou_francouzstiny,s_vyukou_francouzstiny,391,30,600005143_79-41-K/61_s_výukou_španělského_jazyka,s_výukou_španělského_jazyka,,
8,600005143_79-41-K/61,600005143_79-41-K/61_s_posilenou_vyukou_nemciny,s_posilenou_vyukou_nemciny,581,30,600005143_79-41-K/61_s_posílenou_výukou_německého_jazyka,s_posílenou_výukou_německého_jazyka,,
9,600005143_79-41-K/61,600005143_79-41-K/61_s_posilenou_vyukou_nemciny,s_posilenou_vyukou_nemciny,581,30,600005143_79-41-K/61_s_výukou_francouzského_jazyka,s_výukou_francouzského_jazyka,,
10,600005143_79-41-K/61,600005143_79-41-K/61_s_posilenou_vyukou_nemciny,s_posilenou_vyukou_nemciny,581,30,600005143_79-41-K/61_s_výukou_španělského_jazyka,s_výukou_španělského_jazyka,,
11,600005381_39-41-L/01,600005381_39-41-L/01_Autoelektrikar_26_57_H_01,Autoelektrikar_26_57_H_01,51,6,600005381_39-41-L/01_23_68_H/01_Mechanik_opravář_motorových_vozidel,23_68_H/01_Mechanik_opravář_motorových_vozidel,,
12,600005381_39-41-L/01,600005381_39-41-L/01_Autoelektrikar_26_57_H_01,Autoelektrikar_26_57_H_01,51,6,600005381_39-41-L/01_26_57_H/01_Autoelektrikář,26_57_H/01_Autoelektrikář,,
13,600005518_79-41-K/81,600005518_79-41-K/81_Cizi_jazyky_brana_do_sveta,Cizi_jazyky_brana_do_sveta,367,30,600005518_79-41-K/81_Cizí_jazyky_–_brána_do_světa_(zaměření_na_živé_jazyky),Cizí_jazyky_–_brána_do_světa_(zaměření_na_živé_jazyky),,
14,600005950_79-41-K/41,600005950_79-41-K/41_Aspira_Rozvijime_a_podporujeme,Aspira_Rozvijime_a_podporujeme,128,84,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_3,Rozvíjíme_v_globálních_souvislostech_Praha_3,,
15,600005950_79-41-K/41,600005950_79-41-K/41_Aspira_Rozvijime_a_podporujeme,Aspira_Rozvijime_a_podporujeme,128,84,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_5,Rozvíjíme_v_globálních_souvislostech_Praha_5,,
16,600005950_79-41-K/41,600005950_79-41-K/41_Meda_Pro_budouci_psychology,Meda_Pro_budouci_psychology,19,26,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_3,Rozvíjíme_v_globálních_souvislostech_Praha_3,,
17,600005950_79-41-K/41,600005950_79-41-K/41_Meda_Pro_budouci_psychology,Meda_Pro_budouci_psychology,19,26,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_5,Rozvíjíme_v_globálních_souvislostech_Praha_5,,
18,600005950_79-41-K/41,600005950_79-41-K/41_Meda_Pro_budouci_lekare,Meda_Pro_budouci_lekare,22,26,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_3,Rozvíjíme_v_globálních_souvislostech_Praha_3,,
19,600005950_79-41-K/41,600005950_79-41-K/41_Meda_Pro_budouci_lekare,Meda_Pro_budouci_lekare,22,26,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_5,Rozvíjíme_v_globálních_souvislostech_Praha_5,,
20,600006018_79-41-K/81,600006018_79-41-K/81_8lete_PORG_Brno,8lete_PORG_Brno,109,26,"600006018_79-41-K/81_8leté_Nový_PORG,_Praha_4","8leté_Nový_PORG,_Praha_4",,
21,600006018_79-41-K/81,600006018_79-41-K/81_8lete_PORG_Brno,8lete_PORG_Brno,109,26,"600006018_79-41-K/81_8leté_PORG_Libeň,_Praha_8","8leté_PORG_Libeň,_Praha_8",,
22,600006018_79-41-K/81,600006018_79-41-K/81_8lete_PORG_Brno,8lete_PORG_Brno,109,26,600006018_79-41-K/81_8leté_PORG_Ostrava,8leté_PORG_Ostrava,,
23,600006905_26-41-M/01,600006905_26-41-M/01_Aplikace_elektrotechniky_zamereni_Automatizace_a_robotika,Aplikace_elektrotechniky_zamereni_Automatizace_a_robotika,46,15,600006905_26-41-M/01_Aplikace_elektrotechniky___Automatizační_technika,Aplikace_elektrotechniky___Automatizační_technika,,
24,600006905_26-41-M/01,600006905_26-41-M/01_Aplikace_elektrotechniky_zamereni_Automatizace_a_robotika,Aplikace_elektrotechniky_zamereni_Automatizace_a_robotika,46,15,600006905_26-41-M/01_Aplikace_elektrotechniky___Elektroenergetika,Aplikace_elektrotechniky___Elektroenergetika,,
25,600007278_41-41-M/01,600007278_41-41-M/01_Moderni_zemedelstvi_a_nove_technologie,Moderni_zemedelstvi_a_nove_technologie,40,30,600007278_41-41-M/01_zemědělský_provoz,zemědělský_provoz,,
26,600008193_23-45-L/01,600008193_23-45-L/01_Mechanik_serizovac_Obrabec_kovu_L0_H,Mechanik_serizovac_Obrabec_kovu_L0_H,20,30,600008193_23-45-L/01_Mechanik_seřizovač_+_Obráběč_kovů_(L0+H),Mechanik_seřizovač_+_Obráběč_kovů_(L0+H),,
27,600008193_23-45-L/01,600008193_23-45-L/01_Mechanik_serizovac_Obrabec_kovu_L0_H,Mechanik_serizovac_Obrabec_kovu_L0_H,20,30,600008193_23-45-L/01_Mechatronik_+_Elektromechanik_pro_zařízení_a_přístroje_(L0+H),Mechatronik_+_Elektromechanik_pro_zařízení_a_přístroje_(L0+H),,
28,600008193_23-45-L/01,600008193_23-45-L/01_Mechanik_serizovac_mechatronik_Elektromechanik_pro_zarizeni_a_pristroje_L0_H,Mechanik_serizovac_mechatronik_Elektromechanik_pro_zarizeni_a_pristroje_L0_H,74,30,600008193_23-45-L/01_Mechanik_seřizovač_+_Obráběč_kovů_(L0+H),Mechanik_seřizovač_+_Obráběč_kovů_(L0+H),,
29,600008193_23-45-L/01,600008193_23-45-L/01_Mechanik_serizovac_mechatronik_Elektromechanik_pro_zarizeni_a_pristroje_L0_H,Mechanik_serizovac_mechatronik_Elektromechanik_pro_zarizeni_a_pristroje_L0_H,74,30,600008193_23-45-L/01_Mechatronik_+_Elektromechanik_pro_zařízení_a_přístroje_(L0+H),Mechatronik_+_Elektromechanik_pro_zařízení_a_přístroje_(L0+H),,
30,600009459_79-42-K/41,600009459_79-42-K/41_Sportovni_strelba,Sportovni_strelba,3,2,600009459_79-42-K/41_volejbal_(jen_dívky),volejbal_(jen_dívky),,
31,600009831_79-41-K/41,600009831_79-41-K/41_Inspirace_a_vzdelani_v_souvislostech,Inspirace_a_vzdelani_v_souvislostech,62,30,600009831_79-41-K/41_Inspirace_a_poznání_v_souvislostech,Inspirace_a_poznání_v_souvislostech,,
32,600010198_79-41-K/41,600010198_79-41-K/41_79_41_K_41_Vseobecne,79_41_K_41_Vseobecne,123,60,600010198_79-41-K/41_79_41_K/41___humanitní_zaměření,79_41_K/41___humanitní_zaměření,,
