"id_2026","redizo","kkov","zamereni","typ","nazev","obec","stav","id_2025_potvrzene","overil","zdroj_overeni","poznamka"
"600001661_79-41-K/41_Gymnazium","600001661","79-41-K/41","Gymnázium","GY4","Academic School, Gymnázium, SOŠ, ZŠ a MŠ, s.r.o.","Uherské Hradiště","chybi_presna_shoda","","","",""
"600001873_79-41-K/81","600001873","79-41-K/81","","GY8","Gymnázium a Hudební škola hl.m.Prahy,ZUŠ","Praha","chybi_presna_shoda","","","",""
"600004597_79-41-K/81","600004597","79-41-K/81","","GY8","Malostranské gymnázium","Praha","chybi_presna_shoda","","","",""
"600004619_36-47-M/01_dle_volby_zamereni_ARS_BIM_POS_DOS_VES_od_2_rocniku","600004619","36-47-M/01","dle volby zaměření (ARS, BIM, POS, DOS, VES) od 2. ročníku","SOS","VOŠ stavební a SPŠ stavební","Praha","chybi_presna_shoda","","","",""
"600004635_79-41-K/41_SVP_GYMNAZIA_JANA_PALACHA_PRAHA_1_s_r_o","600004635","79-41-K/41","ŠVP GYMNÁZIA JANA PALACHA PRAHA 1, s.r.o.","GY4","GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600004694_79-41-K/41_Vzdelani_cesta_ke_svobode","600004694","79-41-K/41","Vzdělání - cesta ke svobodě","GY4","Gymnázium prof. Jana Patočky","Praha","chybi_presna_shoda","","","",""
"600004694_79-41-K/81_Vzdelani_cesta_ke_svobode","600004694","79-41-K/81","Vzdělání - cesta ke svobodě","GY8","Gymnázium prof. Jana Patočky","Praha","chybi_presna_shoda","","","",""
"600004741_65-42-M/01","600004741","65-42-M/01","","SOS","Hotelová škola","Praha","chybi_presna_shoda","","","",""
"600004759_63-41-M/02","600004759","63-41-M/02","","SOS","Českoslovanská AO Dr. E. Beneše, SOŠ","Praha","kolize_katalogu","","","",""
"600004759_78-42-M/08_Finance_v_digitalni_dobe","600004759","78-42-M/08","Finance v digitální době","LYC","Českoslovanská AO Dr. E. Beneše, SOŠ","Praha","chybi_presna_shoda","","","",""
"600004791_79-41-K/81","600004791","79-41-K/81","","GY8","Arcibiskupské gymnázium","Praha","chybi_presna_shoda","","","",""
