id_2026,katalog_id,doklad
600005143_79-41-K/61_s_posilenou_vyukou_nemciny,600005143_79-41-K/61_s_posílenou_výukou_německého_jazyka,audit Jev 0.9; rešerše neřešila; ručně potvrzeno 2026-09-18
600005143_79-41-K/61_s_vyukou_francouzstiny,600005143_79-41-K/61_s_výukou_francouzského_jazyka,audit Jev 0.82; rešerše neřešila; ručně potvrzeno 2026-09-18
600005500_79-41-K/41_SVP_GOP_vseobecne,600005500_79-41-K/41_ŠVP_GOP_,"audit Jev 0.78; rešerše R-600005500: zrušeno, pokračování; ručně potvrzeno 2026-09-18"
600005518_79-41-K/81_Myslim_tedy_jsem,"600005518_79-41-K/81_Myslím,_tedy_jsem_(zaměření_na_matematiku_s_rozšířenou_výukou_informatiky_a_fyziky)",audit Jev 0.78; rešerše R-600005518: jen přejmenování; ručně potvrzeno 2026-09-18
600005950_79-41-K/41_International_Rozvijime_v_globalnich_souvislostech_Praha_3,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_3,"audit Jev 0.52; rešerše R-600005950: pokračování, sloučení; ručně potvrzeno 2026-09-18"
600005950_79-41-K/41_International_Rozvijime_v_globalnich_souvislostech_Praha_5,600005950_79-41-K/41_Rozvíjíme_v_globálních_souvislostech_Praha_5,"audit Jev 0.68; rešerše R-600005950: pokračování, sloučení; ručně potvrzeno 2026-09-18"
600006433_65-41-L/01_Cisnik,600006433_65-41-L/01_Gastronomie___číšník,audit Jev 0.54; rešerše R-600006433: pokračování; ručně potvrzeno 2026-09-18
600006433_65-41-L/01_Kuchar,600006433_65-41-L/01_Gastronomie___kuchař,audit Jev 0.7; rešerše R-600006433: pokračování; ručně potvrzeno 2026-09-18
600013197_39-41-L/01_Autoelektrikar_AU_AEL,600013197_39-41-L/01_Autoelektrikář,"audit Jev 0.74; rešerše R-600013197: zrušeno, jen přejmenování; ručně potvrzeno 2026-09-18"
600013197_39-41-L/01_Mechanik_opravar_motorovych_vozidel_AU_MOMV,600013197_39-41-L/01_Mechanik_opravář_motorových_vozidel,"audit Jev 0.82; rešerše R-600013197: zrušeno, jen přejmenování; ručně potvrzeno 2026-09-18"
600016901_18-20-M/01_Robotika,600016901_18-20-M/01_Automatizace_a_robotika_,audit Jev 0.75; rešerše R-600016901: pokračování; ručně potvrzeno 2026-09-18
600016935_79-41-K/41_telesna_vychova,600016935_79-41-K/41_TV,"audit Jev 0.83; rešerše R-600016935: zrušeno, pokračování; ručně potvrzeno 2026-09-18"
600017133_26-41-L/01_26_51_H_02_Elektrikar_silnoproud,600017133_26-41-L/01_silnoproudá_zařízení___L0+H_mechanik_elektrotechnik_silnoproudá_zařízení_+_Elektrikář_silnoproud,audit Jev 0.85; rešerše R-600017133: jen přejmenování; ručně potvrzeno 2026-09-18
610100581_26-41-L/01_silnoprouda_zarizeni_uc_obor_26_51_H_02_Elektrikar_silnoproud,610100581_26-41-L/01_Silnoproudá_zařízení,audit Jev 0.79; rešerše R-610100581: pokračování; ručně potvrzeno 2026-09-18
651017459_18-20-M/01_Programovani_vyvoj_aplikaci_a_robotika,651017459_18-20-M/01_Robotika,audit Jev 0.5; rešerše R-651017459: pokračování; ručně potvrzeno 2026-09-18
